lon,lat,campground_code,campground_name,type,phone_number,dates_open,comments,num_campsite,amenities,state,bearing_to_town,nearest_town,toilets,drinking_water,reservations,showers,elevation_m,distance_to_town_km,station_code,station_elevation,station_dist_km
-124.131,41.164,BIG4,Big Lagoon County Park,CP,NA,NA,Toilets/shower house sometimes locked - must use port-a-potty,25,NH FT DW,CA,N,Trinidad,flush,TRUE,NA,NA,NA,11.75,USW00024283,61,20.73
-118.108,36.595,ALAB,Alabama Hills Rec Area,BLM,NA,NA,dispersed - off Movie Flat Rd - no facil,NA,NH ND NT NW NS NR L$,CA,W,Lone Pine,none,FALSE,FALSE,FALSE,NA,4.18,USC00044232,1204,24.1
-118.478,35.963,LIME,Limestone,NF,760-379-5646/559-784-1500,NA,NA,22,NH ND 30ft VT DW NS NR,CA,N,Kernville,vault,TRUE,FALSE,FALSE,1151,23.66,USC00043463,957,33.03
-118.163,36.451,EQUE,Equestrian,NF,760-647-3045/760-873-2400,NA,horse camp,10,VT DW NR,CA,NA,NA,vault,TRUE,FALSE,NA,3043,NA,USC00044232,1204,38.69
-118.49,35.929,FAIR,Fairview,NF,760-379-5646/559-784-1500,mid apr-late oct,NA,55,NH ND 45ft VT DW NS RS,CA,N,Kernville,vault,TRUE,TRUE,FALSE,1085,20.28,USC00043463,957,29.41
-118.92,35.446,KERN,Kern River Park,CP,NA,NA,NA,50,NH DP 70ft FT DW SH,CA,NE,Bakersfield,flush,TRUE,NA,TRUE,NA,12.07,USW00023155,149,12.25
-120.131,40.975,DODG,Dodge,BLM,NA,NA,NA,11,NH ND VT NW NS NR,CA,NE,Susanville,vault,FALSE,FALSE,FALSE,1750,76.12,USC00044374,1646,35.36
-118.571,35.809,PANO,Panorama,NA,NA,NA,NA,NA,NH 36ft VT NW,CA,E,Posey,vault,FALSE,NA,NA,2260,10.14,USC00043463,957,14.84
-118.072,36.601,PORG,Portagee Joe,CP,NA,NA,NA,15,NH ND VT DW NS L$,CA,SW,Lone Pine,vault,TRUE,NA,FALSE,1150,0.97,USC00044232,1204,24.83
-124.093,41.223,HUML,Humboldt Lagoons State Park,SP,707-677-3570,NA,unknown facilities,NA,NH,CA,N,Trinidad,NA,NA,NA,NA,NA,18.67,USW00024283,61,27.23
-119.913,34.698,CACH,Cachuma,NF,805-967-3481/805-961-5778,NA,NA,6,NH ND VT NW NS NR L$,CA,NE,Santa Ynez,vault,FALSE,FALSE,FALSE,658,17.86,USC00041253,242,14.31
-118.612,35.72,ALDC,Alder Creek,NF,760-379-5646/559-784-1500,NA,NA,13,NH ND 20ft VT NW NS NR N$,CA,E,Glennville,vault,FALSE,FALSE,FALSE,1200,8.37,USC00043463,957,8.05
-123.451,41.377,ONEI,Oneil Creek,NF,530-493-2243/530-842-6131,NA,NA,16,NH ND VT DW NS NR,CA,SW,Seiad Valley,vault,TRUE,FALSE,FALSE,NA,55.84,USC00046508,123,10.14
-118.582,35.749,CEDC,Cedar Creek,NF,760-379-5646/559-784-1500,mid may-mid oct,No RVs,11,NH ND VT DW NS NR,CA,W,Wofford Heights,vault,TRUE,FALSE,FALSE,1499,12.39,USC00043463,957,11.01
-121.886,41.445,TROU,Trout Creek Meadow,NF,530-926-4511/530-226-2500,NA,NA,25,NH ND 35ft NS NR,CA,NA,NA,NA,NA,FALSE,FALSE,1503,NA,USC00045449,1e3,30.14
-118.057,36.559,DIAZ,Diaz Lake,CP,760-876-5656,NA,NA,200,NH ND VT DW NS L$,CA,S,Lone Pine,vault,TRUE,NA,FALSE,1121,5.31,USC00044232,1204,29.59
-122.9,41.459,ETNA,Etna City Park,CP,NA,NA,NA,NA,NH ND NS,CA,NA,Etna,NA,NA,NA,FALSE,NA,NA,USC00043182,831,16.25
-118.456,35.874,GOLD,Goldledge,NF,760-379-5646/559-784-1500,mid may-mid sep,NA,37,NH ND 30ft VT DW NS RS,CA,N,Kernville,vault,TRUE,TRUE,FALSE,979,13.52,USC00043463,957,27.48
-118.557,35.739,GREE,Greenhorn Mountain Park,CP,NA,NA,NA,70,NH ND 24ft PT DW SH L$,CA,W,Wofford Heights,pit,TRUE,NA,TRUE,1869,9.82,USC00043463,957,13.06
-121.785,41.457,HARR,Harris Springs,NF,530-926-4511/530-226-2500,NA,NA,16,NH ND 32ft VT DW NS NR,CA,NA,NA,vault,TRUE,FALSE,FALSE,1497,NA,USC00044838,1454,36.06
-120.878,41.293,LOWR,Lower Rush Creek,NF,530-299-3215/530-233-5811,all year,NA,10,NH ND 30ft VT DW NS NR N$,CA,NE,Adin,vault,TRUE,FALSE,FALSE,1448,12.39,USS0020H13S,1887,9.44
-121.337,41.403,LAVA,Lava Camp,NF,530-299-3215/530-233-5811,NA,NA,12,NH ND 32ft VT NW NS NR N$,CA,NW,Adin,vault,FALSE,FALSE,FALSE,1348,40.23,USC00044838,1454,35.91
-120.85,41.301,UPPR,Upper Rush Creek,NF,530-299-3215/530-233-5811,NA,NA,13,NH ND 30ft VT DW NS NR,CA,NE,Adin,vault,TRUE,FALSE,FALSE,1595,14.32,USS0020H13S,1887,8.44
-118.462,35.824,CHIC,Chico Flat,NF,760-379-5646/559-784-1500,NA,dispersed,35,NH ND PT NW NS NR N$,CA,NW,Kernville,pit,FALSE,FALSE,FALSE,894,8.37,USC00043463,957,24.11
-118.458,35.829,HOSP,Hospital Flat,NF,760-379-5646/559-784-1500,mid may-mid sep,NA,40,NH ND 30ft VT DW NS RS,CA,N,Kernville,vault,TRUE,TRUE,FALSE,901,8.69,USC00043463,957,24.69
-118.454,35.81,CAM3,Camp 3,NF,760-379-5646/559-784-1500,mid may-mid sep,NA,52,NH ND 30ft VT DW NS RS,CA,NW,Kernville,vault,TRUE,TRUE,FALSE,872,6.76,USC00043463,957,24.13
-118.589,35.643,EVAN,Evans Flat,NF,760-379-5646/559-784-1500,NA,NA,16,NH ND 20ft VT NW NS NR N$,CA,SW,Wofford Heights,vault,FALSE,FALSE,FALSE,1875,14,USC00043463,957,13.74
-120.229,34.472,GAVI,Gaviota State Park,SP,805-968-1033,early mar-late dec,NA,39,NH ND 27ft FT DW SH RS,CA,W,Goleta,flush,TRUE,TRUE,TRUE,NA,37.01,USC00041253,242,25.79
-118.373,35.899,HORM,Horse Meadow,NF,760-379-5646/559-784-1500,NA,NA,41,NH ND 22ft VT DW NS NR,CA,N,Kernville,vault,TRUE,FALSE,FALSE,2255,16.74,USC00043463,957,35.23
-118.45,35.797,HEAQ,Headquarters,NF,760-379-5646/559-784-1500,all year,NA,44,NH ND 27ft VT DW NS RS PA,CA,NW,Kernville,vault,TRUE,TRUE,FALSE,878,5.15,USC00043463,957,23.96
-120.28,41.143,BLUL,Blue Lake,NF,530-279-6116/530-233-5811,mid may-mid oct,NA,48,NH ND 32ft VT DW NS NR L$,CA,SE,Likely,vault,TRUE,FALSE,FALSE,1882,21.08,USC00044374,1646,13.97
-119.444,34.883,BALL,Ballinger,NF,661-245-3731/805-961-5778,NA,NA,20,NH ND 32ft VT NW NS NR,CA,S,Maricopa,vault,FALSE,FALSE,FALSE,956,19.96,USC00046154,658,22.9
-118.235,36.067,TROY,Troy Meadow,NF,760-379-5646/559-784-1500,NA,NA,73,NH ND 24ft VT DW NS NR,CA,NW,Inyokern,vault,TRUE,FALSE,FALSE,2380,60.19,USC00043710,1166,26.63
-119.958,34.576,LKCH,Lake Cachuma,CP,805-686-5055,NA,NA,550,FT DW,CA,NW,Santa Barbara,flush,TRUE,NA,NA,NA,29.45,USC00041253,242,2.28
-118.217,36.067,FISK,Fish Creek,NF,760-379-5646/559-784-1500,mid may-late sep,NA,40,NH ND 27ft VT DW NS RS,CA,NW,Inyokern,vault,TRUE,TRUE,FALSE,2277,59.22,USC00043710,1166,25.09
-123.612,41.444,BEAN,Beans Camp,NF,530-627-3291/707-442-1721,NA,NA,8,35ft VT NW NR,CA,NA,NA,vault,FALSE,FALSE,NA,1210,NA,USC00046508,123,16.44
-124.03,41.359,ELKP,Elk Prairie  - Prairie Creek Redwoods State Park,SP,707-465-7335,all year,NA,68,NH DP 27ft FT DW SH RS,CA,N,Orick,flush,TRUE,TRUE,TRUE,NA,8.37,USC00046508,123,42.08
-118.46,35.702,LIVO,Live Oak North & South,NF,760-379-5646/559-784-1500,all year,NA,90,NH ND 30ft FT DW SH RS,CA,SW,Wofford Heights,flush,TRUE,TRUE,TRUE,820,0.64,USC00043463,957,21.95
-122.135,41.568,DEEM,Deer Mountain Snowpark,NF,NA,NA,NA,5,NH ND VT NW NS NR L$,CA,NE,Weed,vault,FALSE,FALSE,FALSE,1759,26.39,USW00024215,1078,30.94
-118.456,35.701,TILL,Tillie Creek,NF,760-379-5646/559-784-1500,all year,NA,159,NH DP 30ft FT DW SH RS,CA,S,Wofford Heights,flush,TRUE,TRUE,TRUE,805,0.64,USC00043463,957,22.32
-121.061,41.431,COTF,Cottonwood Flat,NF,530-667-2246/530-233-5811,NA,NA,5,NH ND 16ft VT NW NS NR,CA,W,Canby,vault,FALSE,FALSE,FALSE,1461,15.93,USS0020H13S,1887,31.06
-118.474,35.671,HUNG,Hungry Gulch,NF,760-379-5646/559-784-1500,mid may-mid sep,NA,78,NH ND 30ft FT DW NS RS,CA,N,Lake Isabella,flush,TRUE,TRUE,FALSE,807,5.79,USC00043463,957,21.43
-118.469,35.673,BOUG,Boulder Gulch,NF,760-379-5646/559-784-1500,mid may-mid sep,NA,78,NH ND 45ft FT DW SH RS,CA,N,Lake Isabella,flush,TRUE,TRUE,TRUE,797,6.12,USC00043463,957,21.8
-118.486,35.651,PION,Pioneer Point,NF,760-379-5646/559-784-1500,early jun-mid sep,NA,78,NH ND 30ft FT DW SH RS,CA,N,Lake Isabella,flush,TRUE,TRUE,TRUE,799,3.86,USC00043463,957,21.17
-118.492,35.634,KEYE,Keyesville Rec Site,BLM,NA,NA,NA,NA,NH ND VT NS NR N$,CA,S,Wofford Heights,vault,NA,FALSE,FALSE,771,8.69,USC00043463,957,21.51
-118.538,35.581,SAN4,Sandy Flat,NF,760-379-5646/559-784-1500,all year,NA,35,NH ND 24ft VT DW NS RS,CA,SW,Lake Isabella,vault,TRUE,TRUE,FALSE,729,7.08,USC00043463,957,21.88
-118.483,35.643,MAID,Main Dam,NF,760-379-5646/559-784-1500,NA,NA,82,NH DP 45ft FTVT DW NS NR,CA,N,Lake Isabella,flush_and_vault,TRUE,FALSE,FALSE,761,2.9,USC00043463,957,21.79
-120.072,34.463,REFU,Refugio State Beach,SP,805-968-1033,early mar-late dec,NA,67,NH ND 30ft FT DW SH RS,CA,W,Goleta,flush,TRUE,TRUE,TRUE,NA,22.69,USC00041253,242,15.61
-119.341,34.878,VALL,Valle Vista,NF,661-245-3731/805-961-5778,NA,NA,7,NH ND 22ft PT NW NS NR N$,CA,W,Frazier Park,pit,FALSE,FALSE,FALSE,1472,36.69,USC00046154,658,32.12
-118.436,35.695,CAM9,Camp 9,NF,760-379-5646/559-784-1500,all year,NA,109,NH DP FTVT DW NS RS,CA,S,Kernville,flush_and_vault,TRUE,TRUE,FALSE,848,6.76,USC00043463,957,24.2
-118.529,35.574,HOBO,Hobo,NF,760-379-5646/559-784-1500,NA,NA,25,NH ND 22ft VT DW NS NR,CA,SW,Lake Isabella,vault,TRUE,FALSE,FALSE,701,6.92,USC00043463,957,23.01
-118.457,35.652,AUXI,Auxiliary Dam,NF,760-379-5646/559-784-1500,NA,dispersed,250,NH ND FTVT DW NS NR N$,CA,N,Lake Isabella,flush_and_vault,TRUE,FALSE,FALSE,804,4.02,USC00043463,957,23.56
-121.573,41.554,BULL,Bullseye Lake,NF,530-667-2246/530-233-5811,mid may-mid oct,NA,7,NH ND 22ft VT NW NS NR N$,CA,NE,McCloud,vault,FALSE,FALSE,FALSE,2072,57.78,USC00044838,1454,17.49
-120.186,41.198,PATT,Patterson,NF,530-279-6116/530-233-5811,mid may-mid oct,NA,6,NH ND 16ft VT DW NS NR N$,CA,SW,Eagleville,vault,TRUE,FALSE,FALSE,2205,14.32,USC00044374,1646,12
-121.561,41.555,PAYN,Payne Springs,NF,530-667-2246/530-233-5811,mid jul-mid oct,NA,5,NH ND 20ft VT NW NS NR N$,CA,NE,McCloud,vault,FALSE,FALSE,FALSE,1988,58.58,USC00044838,1454,17.06
-121.57,41.557,BLAN,Blanche Lake,NF,530-667-2246/530-233-5811,mid jul-mid oct,NA,6,NH ND VT NW NS NR N$,CA,NA,NA,vault,FALSE,FALSE,FALSE,2076,NA,USC00044838,1454,17.09
-118.437,35.659,SOUF,South Fork Rec,NF,760-379-5646/559-784-1500,NA,NA,100,NR,CA,NE,Lake Isabella,NA,NA,FALSE,NA,805,5.63,USC00043463,957,25.02
-124.068,41.396,GOLB,Gold Bluffs Beach - Prarie Creek Redwoods State Park,SP,707-465-7335,all year,NA,25,NH DP FT DW SH NR,CA,N,Orick,flush,TRUE,FALSE,TRUE,NA,12.23,USW00024286,17,44.94
-120.022,34.462,ELCP,El Capitan State Beach,SB,805-968-1033,early apr-late dec,NA,131,NH ND 30ft FT DW SH RS,CA,W,Goleta,flush,TRUE,TRUE,TRUE,NA,18.02,USC00041253,242,13.84
-118.129,36.053,KENM,Kennedy Meadows,NF,760-379-5646/559-784-1500,NA,NA,38,NH ND 30ft VT DW NS NR,CA,NW,Pearsonville,vault,TRUE,FALSE,FALSE,1887,35.57,USC00043710,1166,18.51
-118.425,35.651,PARC,Paradise Cove,NF,760-379-5646/559-784-1500,all year,NA,138,NH DP FTVT DW SH RS,CA,NE,Lake Isabella,flush_and_vault,TRUE,TRUE,TRUE,790,5.63,USC00043463,957,26.33
-118.584,35.469,BREC,Breckenridge,NF,760-379-5646/559-784-1500,NA,No RVs,8,NH ND VT NW NS NR,CA,N,Caliente,vault,FALSE,FALSE,FALSE,2058,20.12,USC00045100,1291,18.25
-119.822,34.543,FREM,Fremont,NF,805-967-3481/805-961-5778,mid mar-mid oct,NA,15,NH ND 22ft FT DW NS RS,CA,NW,Santa Barbar,flush,TRUE,TRUE,FALSE,NA,17.7,USC00043402,475,13.03
-121.615,41.585,HEAD,Headquarters,NF,530-667-2246/530-233-5811,mid may-mid oct,NA,16,NH ND 16ft VT DW NS NR L$,CA,NA,NA,vault,TRUE,FALSE,FALSE,2051,NA,USC00044838,1454,16.08
-119.811,34.542,PARA,Paradise,NF,805-967-3481/805-961-5778,all year,NA,15,NH ND 22ft FT DW NS RS,CA,NW,Santa Barbara,flush,TRUE,TRUE,FALSE,NA,17.06,USC00043402,475,12.02
-123.143,41.595,LOVC,Lovers Camp,NF,NA,NA,NA,8,NH ND NS NR,CA,W,Fort Jones,NA,NA,FALSE,FALSE,1311,25.11,USC00043182,831,24.62
-121.589,41.586,HEML,Hemlock,NF,530-667-2246/530-233-5811,mid may-mid oct,NA,19,NH DP 22ft VT DW NS NR L$,CA,W,Tionesta,vault,TRUE,FALSE,FALSE,2062,22.69,USC00044838,1454,14.81
-121.595,41.588,MEDI,Medicine,NF,530-667-2246/530-233-5811,mid jun-mid sep,NA,22,NH DP 30ft VT DW NS NR L$,CA,W,Tionesta,vault,TRUE,FALSE,FALSE,2053,23.17,USC00044838,1454,14.87
-119.771,34.556,UPPO,Upper Oso,NF,805-967-3481/805-961-5778,all year,NA,25,NH ND 22ft FT DW NS RS,CA,NW,Santa Barbara,flush,TRUE,TRUE,FALSE,NA,16.42,USC00043402,475,8.96
-121.617,41.592,SCHO,Schonichin Springs,NF,530-667-2246/530-233-5811,mid jul-mid oct,NA,10,NH ND NW NS NR N$,CA,W,Tionesta,NA,FALSE,FALSE,FALSE,2057,24.78,USC00044838,1454,15.56
-119.8,34.54,LOSP,Los Prietos,NF,805-967-3481/805-961-5778,early mar-mid oct,NA,37,E ND 22ft DW NS RS,CA,NW,Santa Barbara,NA,TRUE,TRUE,FALSE,NA,16.25,USC00043402,475,10.99
-120.288,41.277,MILE,Mill Creek Falls,NF,530-279-6116/530-233-5811,mid jun-mid oct,NA,15,NH ND 25ft VT DW NS NR L$,CA,E,Likely,vault,TRUE,FALSE,FALSE,1749,18.83,USC00044374,1646,1.12
-120.969,41.486,HOWG,Howards Gulch,NF,530-667-2246/530-233-5811,mid may-mid oct,NA,11,NH ND 22ft VT DW NS NR L$,CA,NW,Canby,vault,TRUE,FALSE,FALSE,1450,9.5,USS0020H13S,1887,31.16
-119.216,34.88,MARI,Marian,NF,661-245-3731/805-961-5778,NA,NA,5,NH ND 16ft NW NS NR,CA,NW,Pine Mt Club,NA,FALSE,FALSE,FALSE,2022,6.6,USC00044863,1090,32.51
-119.23,34.869,CABA,Caballo,NF,661-245-3731/805-961-5778,NA,NA,5,NH ND 16ft PT NW NS NR,CA,SE,Maricopa,pit,FALSE,FALSE,FALSE,1813,26.23,USC00044863,1090,33.61
-119.228,34.861,TOAD,Toad Springs,NF,661-245-3731/805-961-5778,NA,NA,5,NH ND 16ft VT NW NS NR,CA,SE,Maricopa,vault,FALSE,FALSE,FALSE,1731,27.04,USC00044863,1090,33.34
-123.079,41.634,INDT,Indian Scotty,NF,530-468-5351/530-842-6131,NA,NA,44,NH ND 50ft NS NR,CA,W,Fort Jones,NA,NA,FALSE,FALSE,775,19.96,USC00043182,831,19.64
-123.541,41.574,DILL,Dillon,NF,530-627-3291/707-442-1721,mid may-mid oct,NA,21,NH ND 35ft VT DW NS RS,CA,N,Orleans,vault,TRUE,TRUE,FALSE,NA,30.42,USC00043761,341,29.03
-119.292,34.803,NETT,Nettle Springs,NF,661-245-3731/805-961-5778,NA,NA,9,NH ND 22ft VT NW NS NR,CA,S,Maricopa,vault,FALSE,FALSE,FALSE,1358,30.09,USC00046154,658,39.08
-121.987,41.663,ORRL,Orr Lake,NF,530-398-4391/530-842-6131,NA,NA,4,NH ND VT NW NS NR N$,CA,S,Macdoel,vault,FALSE,FALSE,FALSE,1585,18.35,USC00044838,1454,40.69
-120.277,41.309,SOUP,Soup Springs,NF,530-279-6116/530-233-5811,mid jun-mid oct,NA,14,NH ND 30ft VT DW NS NR L$,CA,NE,Likely,vault,TRUE,FALSE,FALSE,2084,20.92,USC00044374,1646,4.76
-120.138,41.264,EMER,Emerson,NF,530-279-6116/530-233-5811,NA,NA,4,NH ND 16ft VT NW NS NR N$,CA,S,Eagleville,vault,FALSE,FALSE,FALSE,1773,6.12,USC00044374,1646,13.14
-123.113,41.65,BRIF,Bridge Flat,NF,530-468-5351/530-842-6131,NA,river swimming,4,NH ND VT NW NS NR,CA,W,Ft. Jones,vault,FALSE,FALSE,FALSE,686,23.17,USC00043182,831,22.79
-119.19,34.854,MILP,Mil Potrero Park,CP,NA,NA,NA,NA,NH,CA,W,Frazier Park,NA,NA,NA,NA,1729,22.69,USC00044863,1090,29.81
-119.204,34.833,CAMA,Campo Alto,NF,661-245-3731/805-961-5778,NA,NA,15,NH ND 22ft VT NW NS NR L$,CA,N,Pine Mountain,vault,FALSE,FALSE,FALSE,2518,23.66,USC00044863,1090,31.01
-118.161,35.844,LONV,Long Valley,BLM,661-391-6000,NA,NA,11,NH VT NW NR N$,CA,NA,NA,vault,FALSE,FALSE,NA,1634,NA,USC00043710,1166,37.73
-123.311,41.647,NORC,Norcross,NF,NA,NA,equestrian,4,NH ND VT NW NS NR N$,CA,S,Happy Camp,vault,FALSE,FALSE,FALSE,732,17.06,USC00043761,341,18.27
-123.32,41.66,SULP,Sulphur Springs,NF,530-493-2243/530-842-6131,NA,warm springs - all sites walk-in 50 yards,6,NH ND VT NW NS NR N$,CA,NA,NA,vault,FALSE,FALSE,FALSE,675,NA,USC00043761,341,16.68
-121.981,41.711,SHAF,Shafter,NF,530-398-4391/530-842-6131,NA,RR near,13,NH ND 40ft VT DW NS NR,CA,S,Macdoel,vault,TRUE,FALSE,FALSE,1338,13.04,USC00044838,1454,39.96
-117.595,38.869,BERL,Berlin - Ichthyosaur State Park,SP,775-964-2440,all year,NA,14,NH DP 25ft VT DW NR,NV,E,Gabbs,vault,TRUE,FALSE,NA,2109,28.32,USC00262948,1431,28.47
-119.329,34.694,OZEN,Ozena,NF,661-245-3731/805-961-5778,NA,NA,12,NH ND 22ft VT NW NS NR L$,CA,W,Frazier Park,vault,FALSE,FALSE,FALSE,1119,37.82,USC00046399,227,28.86
-119.123,34.813,CHUL,Chula Vista,NF,661-245-3731/805-961-5778,NA,NA,12,NH ND VT NW NS NR,CA,W,Frazier Park,vault,FALSE,FALSE,FALSE,2536,16.25,USC00044863,1090,23.71
-120.874,41.579,RESF,Reservoir F,NF,530-667-2246/530-233-5811,mid may-mid oct,NA,9,NH ND 22ft VT NW NS NR N$,CA,W,Alturas,vault,FALSE,FALSE,FALSE,1519,29.45,USW00094299,1334,27.61
-119.307,34.679,REYC,Reyes Creek,NF,661-245-3731/805-961-5778,NA,NA,30,NH ND 22ft VT NW NS NR L$,CA,SW,Mt. Pinos,vault,FALSE,FALSE,FALSE,1217,20.76,USC00046399,227,26.67
-119.58,34.51,MIDS,Middle Santa Ynez,NF,805-967-3481/805-961-5778,NA,hot springs nearby,13,NH ND VT NW NS NR L$,CA,N,Summerland,vault,FALSE,FALSE,FALSE,490,9.98,USC00043402,475,9.49
-119.102,34.814,MCGI,McGill,NF,NA,early jun-late sep,NA,78,NH ND 16ft PT NW NS RS L$,CA,W,Frazier Park,pit,FALSE,TRUE,FALSE,2281,14.32,USC00044863,1090,21.79
-119.107,34.81,MTPI,Mt Pinos,NF,661-245-3731/805-961-5778,NA,NA,19,NH ND PT NW NS NR,CA,W,Frazier Park,pit,FALSE,FALSE,FALSE,2359,14.97,USC00044863,1090,22.29
-121.508,41.714,INDW,Indian Wells - Lava Bed National Monument,NM,NA,NA,NA,40,NH ND 20ft FT DW NS NR L$,CA,S,Tulelake,flush,TRUE,FALSE,FALSE,1454,27.04,USC00044838,1454,1.46
-119.329,34.639,PINM,Pine Mountain,NF,805-646-4348/805-961-5778,NA,NA,6,NH ND PT NW NS NR L$,CA,N,Ojai,pit,FALSE,FALSE,FALSE,2030,22.69,USC00046399,227,23.17
-118.043,35.839,CHIM,Chimney Creek,BLM,661-391-6000,NA,unknown facil,36,NH ND 25ft NS NR N$,CA,NW,Inyokern,NA,NA,FALSE,FALSE,1743,29.77,USC00043710,1166,34.26
-119.315,34.637,REYP,Reyes Peak,NF,805-646-4348/805-961-5778,NA,NA,6,NH ND VT NW NS NR L$,CA,N,Ojai,vault,FALSE,FALSE,FALSE,2165,22.05,USC00046399,227,22.47
-122.205,41.796,MART,Martins Dairy,NF,530-398-4391/530-842-6131,NA,NA,9,VT DW NR,CA,E,Montague,vault,TRUE,FALSE,NA,1847,27.84,USW00024259,803,22.24
-117.923,35.977,FOSS,Fossil Falls,BLM,NA,NA,NA,11,NH ND VT DW NS NR,CA,N,Little Lake,vault,TRUE,FALSE,FALSE,1020,4.83,USC00043710,1166,18.16
-120.241,41.45,PEPP,Pepperdine,NF,530-279-6116/530-233-5811,mid jul-mid oct,NA,14,NH ND 30ft VT NW NS NR N$,CA,E,Alturas,vault,FALSE,FALSE,FALSE,2095,25.43,USC00041614,1429,10.28
-123.052,41.788,SARA,Sarah Totten,NF,530-493-2243/530-842-6131,mid may-mid oct,NA,23,NH ND 22ft VT DW NS RS,CA,E,Happy Camp,vault,TRUE,TRUE,FALSE,480,27.04,USC00043761,341,26.97
-120.628,41.579,BIGS,Big Sage,NF,530-667-2246/530-233-5811,mid may-mid oct,NA,11,NH ND 22ft VT NW NS NR N$,CA,NW,Alturas,vault,FALSE,FALSE,FALSE,1490,12.39,USW00094299,1334,11.08
-122.124,41.817,JUAN,Juanita Lake,NF,530-398-4391/530-842-6131,NA,NA,45,NH ND 38ft NS NR,CA,W,Macdoel,NA,NA,FALSE,FALSE,1568,9.82,USC00041990,824,25.32
-122.659,41.831,TREE,Tree Of Heaven,NF,530-493-2243/530-842-6131,mid may-late dec,NA,36,NH ND 35ft VT DW NS RS,CA,N,Yreka,vault,TRUE,TRUE,FALSE,625,10.78,USC00049866,800,14.23
-123.116,41.809,OAKB,Oak Bottom,NF,530-627-3291/707-442-1721,mid apr-late oct,NA,26,NH ND NS RS,CA,NE,Somes Bar,NA,NA,TRUE,FALSE,484,56.81,USC00043761,341,21.6
-119.133,34.692,PINS,Pine Springs,NF,661-245-3731/805-961-5778,NA,NA,12,NH ND 22ft PT NW NS NR L$,CA,SW,Frazier Park,pit,FALSE,FALSE,FALSE,1780,22.53,USC00046399,227,28.44
-119.001,34.785,CHUC,Chuchupate,NF,661-245-3731/805-961-5778,NA,NA,30,NH ND 42ft VT DW NS NR L$,CA,SW,Frazier Park,vault,TRUE,FALSE,FALSE,1913,6.6,USC00044863,1090,13.55
-123.908,41.688,BIGL,Big Flat,NF,707-457-3131/707-442-1721,NA,NA,27,NH ND 22ft VT NW NS NR,CA,E,Crescent City,vault,FALSE,FALSE,FALSE,NA,25.59,USW00024286,17,29.2
-123.218,41.807,GRIC,Grider Creek,NF,NA,NA,NA,10,NH ND 33ft VT NW NS NR N$,CA,SW,Seiad Valley,vault,FALSE,FALSE,FALSE,524,4.35,USC00043761,341,13.12
-123.389,41.786,CURL,Curly Jack,NF,530-493-2243/530-842-6131,mid may-late dec,NA,12,NH ND 50ft VT DW NS RS,CA,SW,Happy Camp,vault,TRUE,TRUE,FALSE,NA,1.13,USC00043761,341,2.3
-120.774,41.66,RESC,Reservoir C,NF,530-667-2246/530-233-5811,mid may-mid oct,NA,11,NH ND 22ft VT NW NS NR N$,CA,NW,Alturas,vault,FALSE,FALSE,FALSE,1510,27.2,USW00094299,1334,25.62
-118.041,35.665,WALK,Walker Pass,BLM,661-391-6120,NA,most sites walk to,15,NH ND VT NW NS NR N$,CA,W,Walker Pass,vault,FALSE,FALSE,FALSE,1524,1.29,USW00093104,680,31.59
-117.367,36.964,MESQ,Mesquite Spring - Death Valley National Park,NP,760-786-3200,all year,NA,30,NH DP 30ft FT DW NS NR L$,CA,NW,Furnace Creek,flush,TRUE,FALSE,FALSE,552,71.62,USW00053139,26,44.8
-119.521,34.392,CARP,Carpinteria State Beach,SB,805-968-1033,all year,pay showers - quarters,216,WES DP 35ft FT DW SH RS,CA,S,Carpinteria,flush,TRUE,TRUE,TRUE,NA,0.8,USC00047902,2,15.27
-118.537,35.103,BRIT,Brite Lake,CP,NA,NA,NA,NA,E DP FT DW SH NR,CA,W,Tehachapi,flush,TRUE,FALSE,TRUE,1342,8.69,USC00048829,1286,10.47
-117.303,38.616,PEAV,Peavine,NF,775-482-6286/775-331-6444,NA,NA,15,NH ND 35ft VT NW NS NR,NV,NA,NA,vault,FALSE,FALSE,FALSE,1914,NA,USC00267620,1721,21.76
-120.294,41.56,CEDP,Cedar Pass,NF,530-279-6116/530-233-5811,NA,NA,7,NH ND 17ft VT NW NS NR N$,CA,W,Cedarville,vault,FALSE,FALSE,FALSE,1808,10.62,USS0020H06S,2143,2.28
-117.376,38.9,COL1,Columbine,NF,NA,NA,NA,5,NH ND 35ft VT NW NS NR,NV,S,Austin,vault,FALSE,FALSE,FALSE,2634,71.13,USC00267620,1721,21.77
-119.113,34.626,THOM,Thorn Meadows,NF,NA,NA,NA,5,NH ND 16ft PT NW NS NR,CA,SE,Maricopa,pit,FALSE,FALSE,FALSE,NA,54.88,USC00046399,227,22.39
-124.097,41.703,MLCR,Mill Creek - Del Norte Coast Redwoods State Park,SP,707-465-7332,mid may-mid sep,NA,145,NH DP 31ft FT DW SH NR,CA,SE,Crescent City,flush,TRUE,FALSE,TRUE,NA,10.46,USW00024286,17,14.45
-119.068,34.651,HALF,Halfmoon,NF,661-245-3731/805-961-5778,NA,NA,10,NH ND VT NW NS NR L$,CA,SW,Frazier Park,vault,FALSE,FALSE,FALSE,1448,22.21,USC00046399,227,26.88
